ID do canal,URL do canal,Título do canal
UC1W8ShdwtfgjRHdbl1Lctcw,http://www.youtube.com/channel/UC1W8ShdwtfgjRHdbl1Lctcw,NASS
UC1W_8iq-__pifrEbq-2q2kQ,http://www.youtube.com/channel/UC1W_8iq-__pifrEbq-2q2kQ,La Cocina de Victoriano
UC1W_Jc9UmyttYlSo0i5DzJg,http://www.youtube.com/channel/UC1W_Jc9UmyttYlSo0i5DzJg,Show Me the World
UC1yBb0iQWF7ByG5NugAZhvg,http://www.youtube.com/channel/UC1yBb0iQWF7ByG5NugAZhvg,Leapable
UC22MoxV6kaW9d3EP8VwOaJg,http://www.youtube.com/channel/UC22MoxV6kaW9d3EP8VwOaJg,Matheus Matemática
UC23aSgHY8WaJGw4nft7Sn7g,http://www.youtube.com/channel/UC23aSgHY8WaJGw4nft7Sn7g,Bubbleman's World
UC27LcR5N31YfK9iIOTksQ0Q,http://www.youtube.com/channel/UC27LcR5N31YfK9iIOTksQ0Q,Saí do Brasil!
UC2GOaa6R3YL-Zp6a5pWrpJw,http://www.youtube.com/channel/UC2GOaa6R3YL-Zp6a5pWrpJw,Banana Mix
UC2HvWg5ROXZrfBK1Wxg0ZcQ,http://www.youtube.com/channel/UC2HvWg5ROXZrfBK1Wxg0ZcQ,TICARACATICAST Cortes[OFICIAL]
UC2IEgRZcIuemAPJqXa2nHvQ,http://www.youtube.com/channel/UC2IEgRZcIuemAPJqXa2nHvQ,Pânico Retrô
UC2J5SLYPydPi68QIxypXMrw,http://www.youtube.com/channel/UC2J5SLYPydPi68QIxypXMrw,Guirec Soudée
UC2Kyl3gdFgqHv4jwCgUHlrA,http://www.youtube.com/channel/UC2Kyl3gdFgqHv4jwCgUHlrA,Deville Nunes
UC2PXDeXqqGQY_oQMbUBB01w,http://www.youtube.com/channel/UC2PXDeXqqGQY_oQMbUBB01w,Our Rescue
UC2QPAkWjClv_eDBWD-9izxw,http://www.youtube.com/channel/UC2QPAkWjClv_eDBWD-9izxw,Jerry Skinner
UC2W_8opsTa6U_jClX0sDX0Q,http://www.youtube.com/channel/UC2W_8opsTa6U_jClX0sDX0Q,Mateus Dias
UC2WmuBuFq6gL08QYG-JjXKw,http://www.youtube.com/channel/UC2WmuBuFq6gL08QYG-JjXKw,WorldofAI
UC2Zzxh4IL4MLXIm7sCJCw6g,http://www.youtube.com/channel/UC2Zzxh4IL4MLXIm7sCJCw6g,Kimi Werner
UC2eeVIItfp2ca1BkB6KlY5w,http://www.youtube.com/channel/UC2eeVIItfp2ca1BkB6KlY5w,Wheeling Free
UC2hMKdWmTBVJ_PnD4Utubbw,http://www.youtube.com/channel/UC2hMKdWmTBVJ_PnD4Utubbw,Quest TV
UC2j4ZeDzQRXqIG-Ui8EoLrA,http://www.youtube.com/channel/UC2j4ZeDzQRXqIG-Ui8EoLrA,grimmlifecollective
UC2m77KGMIKZCD0Kw35-4shQ,http://www.youtube.com/channel/UC2m77KGMIKZCD0Kw35-4shQ,Yuval Noah Harari 
UC2ojq-nuP8ceeHqiroeKhBA,http://www.youtube.com/channel/UC2ojq-nuP8ceeHqiroeKhBA,Nate Herk | AI Automation
UC2toUtDIcE0WeZUGJTCZrIw,http://www.youtube.com/channel/UC2toUtDIcE0WeZUGJTCZrIw,Hilton Junior - Botvance Automações
UC34-KrZlJEfTLmD52lVxxsA,http://www.youtube.com/channel/UC34-KrZlJEfTLmD52lVxxsA,Rosie Maio
UC36lpnNYIg_c81NOLGhoxLA,http://www.youtube.com/channel/UC36lpnNYIg_c81NOLGhoxLA,Relume
UC376n347Ob5Lwzq2WGzF1AA,http://www.youtube.com/channel/UC376n347Ob5Lwzq2WGzF1AA,SBT News
UC37JpWP5PxLSma2lh79HU9A,http://www.youtube.com/channel/UC37JpWP5PxLSma2lh79HU9A,Duncan Rogoff | AI Automation
UC3HF56OHHEpxic_WB_27Q0g,http://www.youtube.com/channel/UC3HF56OHHEpxic_WB_27Q0g,Aliyo cooking
UC3I2GFN_F8WudD_2jUZbojA,http://www.youtube.com/channel/UC3I2GFN_F8WudD_2jUZbojA,KEXP
UC3KK7ENB_ierAXvrxVNnbZQ,http://www.youtube.com/channel/UC3KK7ENB_ierAXvrxVNnbZQ,Ben AI
UC3NLkn1vW9IMbg9Gl6mHnZA,http://www.youtube.com/channel/UC3NLkn1vW9IMbg9Gl6mHnZA,"AFINAL, O QUE SOMOS NÓS? / AFTER ALL, WHAT ARE WE?"
UC3OkbW0nUSFjKCpjO2_Mj5w,http://www.youtube.com/channel/UC3OkbW0nUSFjKCpjO2_Mj5w,The Design Project
UC3ScyryU9Oy9Wse3a8OAmYQ,http://www.youtube.com/channel/UC3ScyryU9Oy9Wse3a8OAmYQ,FRONTLINE PBS | Official
UC3UnmT5IgPKdXkvPhdbulaQ,http://www.youtube.com/channel/UC3UnmT5IgPKdXkvPhdbulaQ,Fe Leal
UC3Vuq4Q1bKFtAiKYlwRv3oA,http://www.youtube.com/channel/UC3Vuq4Q1bKFtAiKYlwRv3oA,Peter Santenello
UC3bLiTc7_UpKSl0dnYR-d3A,http://www.youtube.com/channel/UC3bLiTc7_UpKSl0dnYR-d3A,HDPinkFloyd
UC3eWEzazefWko5z8yubEzXg,http://www.youtube.com/channel/UC3eWEzazefWko5z8yubEzXg,Nino Carvalho
UC3ejmX8qhjAnDbfH_FUnndQ,http://www.youtube.com/channel/UC3ejmX8qhjAnDbfH_FUnndQ,READING BOOKS  10
UC3rFXJSd3qh9tfXwqlgg9yQ,http://www.youtube.com/channel/UC3rFXJSd3qh9tfXwqlgg9yQ,Monkey Abroad
UC3sUXXXvm0BcU8MS3KcXOig,http://www.youtube.com/channel/UC3sUXXXvm0BcU8MS3KcXOig,Aviation International News
UC41M8ZcIBLvEH_O3O6qMUAg,http://www.youtube.com/channel/UC41M8ZcIBLvEH_O3O6qMUAg,The Superior Word
UC46BCt0WGx7_BHvkSlQnEFw,http://www.youtube.com/channel/UC46BCt0WGx7_BHvkSlQnEFw,InfoWorld
UC49ta0RHXJUiID5KWRkcySw,http://www.youtube.com/channel/UC49ta0RHXJUiID5KWRkcySw,SiriusXM
UC4EY_qnSeAP1xGsh61eOoJA,http://www.youtube.com/channel/UC4EY_qnSeAP1xGsh61eOoJA,YaleCourses
UC4P8ylz0_93VaFDtO8CXRNQ,http://www.youtube.com/channel/UC4P8ylz0_93VaFDtO8CXRNQ,TraxNYC Diamond Jewelry
UC4QZ_LsYcvcq7qOsOhpAX4A,http://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion
UC4SVo0Ue36XCfOyb5Lh1viQ,http://www.youtube.com/channel/UC4SVo0Ue36XCfOyb5Lh1viQ,Bro Code
UC4SXMZsFPZMFN5-3UuF-k6w,http://www.youtube.com/channel/UC4SXMZsFPZMFN5-3UuF-k6w,Trent Palmer
UC4TjXPVIYz9Z13SB3vxKuZQ,http://www.youtube.com/channel/UC4TjXPVIYz9Z13SB3vxKuZQ,Mind Unveiled
UC4V5osIDMjFwtCRxMm2e0LA,http://www.youtube.com/channel/UC4V5osIDMjFwtCRxMm2e0LA,Marianne
UC4YaWN1uThRlosUHuYLmhxw,http://www.youtube.com/channel/UC4YaWN1uThRlosUHuYLmhxw,Derby macht Sachen
UC4YhYkpcbZCcbapmno7TuFQ,http://www.youtube.com/channel/UC4YhYkpcbZCcbapmno7TuFQ,Lizzie Skevington
UC4a-Gbdw7vOaccHmFo40b9g,http://www.youtube.com/channel/UC4a-Gbdw7vOaccHmFo40b9g,Khan Academy
UC4bq21IPPbpu0Qrsl7LW0sw,http://www.youtube.com/channel/UC4bq21IPPbpu0Qrsl7LW0sw,Slidebean
UC4eYXhJI4-7wSWc8UNRwD4A,http://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A,NPR Music
UC4faEZ010FKfB4HMAgD2Hzw,http://www.youtube.com/channel/UC4faEZ010FKfB4HMAgD2Hzw,Invasão - Dimas 
UC4jROkPjTvnXRkuo2GAwKXw,http://www.youtube.com/channel/UC4jROkPjTvnXRkuo2GAwKXw,EstaTiDados
UC4jZtj7d1044sw5Si6Y6hVg,http://www.youtube.com/channel/UC4jZtj7d1044sw5Si6Y6hVg,FutureWise
UC4ovz3ObT9fffGjJjVKFGDQ,http://www.youtube.com/channel/UC4ovz3ObT9fffGjJjVKFGDQ,Canal Subido
UC4rBpJF855RQuO8PrUVb68g,http://www.youtube.com/channel/UC4rBpJF855RQuO8PrUVb68g,Rino de Boer
UC4rlAVgAK0SGk-yTfe48Qpw,http://www.youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE
UC4wJTdzJNnYh99SM8GNSYLA,http://www.youtube.com/channel/UC4wJTdzJNnYh99SM8GNSYLA,KORN CARS
UC52m0Q5PEvFkeq51wbimj2g,http://www.youtube.com/channel/UC52m0Q5PEvFkeq51wbimj2g,Irmãos Prezia - Canada
UC55ODQSvARtgSyc8ThfiepQ,http://www.youtube.com/channel/UC55ODQSvARtgSyc8ThfiepQ,Sam Witteveen
UC58EbRqo6YjVUqWv1vFrN3A,http://www.youtube.com/channel/UC58EbRqo6YjVUqWv1vFrN3A,Salty Cheeks
UC5AQEUAwCh1sGDvkQtkDWUQ,http://www.youtube.com/channel/UC5AQEUAwCh1sGDvkQtkDWUQ,Theo Von
UC5Dv8i_vH5M9rB3HOZDCkng,http://www.youtube.com/channel/UC5Dv8i_vH5M9rB3HOZDCkng,Ben Heath
UC5N-VmtsksN1xfPV1sdB__g,http://www.youtube.com/channel/UC5N-VmtsksN1xfPV1sdB__g,TradingCoachUK
UC5XG4yYM-_DQ-3HPRuam76Q,http://www.youtube.com/channel/UC5XG4yYM-_DQ-3HPRuam76Q,ingresso.com
UC5alq-VmYnfQZt7YaNgdcGw,http://www.youtube.com/channel/UC5alq-VmYnfQZt7YaNgdcGw,Darrel Wilson
UC5fI3kxC-ewZ6ZXEYgznM7g,http://www.youtube.com/channel/UC5fI3kxC-ewZ6ZXEYgznM7g,Codie Sanchez
UC5gDhPIITvg0JS6sAZFf8Bw,http://www.youtube.com/channel/UC5gDhPIITvg0JS6sAZFf8Bw,Side Antunes
UC5g_Zgi8TOC6GvvnxzQCY2w,http://www.youtube.com/channel/UC5g_Zgi8TOC6GvvnxzQCY2w,Expedition Bible
UC5lW2aufFotokvIXSXOe56Q,http://www.youtube.com/channel/UC5lW2aufFotokvIXSXOe56Q,CloudStation
UC5nwcKnu3C4lEISu3D_JEDw,http://www.youtube.com/channel/UC5nwcKnu3C4lEISu3D_JEDw,Samuel Matioli
UC5vbLdybDJVned9ccQHhv2g,http://www.youtube.com/channel/UC5vbLdybDJVned9ccQHhv2g,DJ DEX THE BOSS OF MIX (il capo del mixaggio)
